Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Característiques específiques;;Valor característiques específiques;;Superfície Centre Gestor;Metres
Q5/1011;Q;Laboratoris docents;Laboratori docent DCC (Q5/1012;;;;;;98,0;98
Q5/2003;Q;Laboratoris docents;Laboratori docent Sist. Dig.;;Ordinador;;PC;;49,5;99
;;;;;Pissarra;;blanca -pantalla;;;
;;;;;;;;;49,5;
Q5/2006;Q;Laboratoris docents;Laboratori docent Me;;Ordinador;;PC;;38,0;76
;;;;;Pissarra;;blanca -pantalla;;;
;;;;;;;;;38,0;
Q5/2007;Q;Laboratoris docents;Laboratori Cèl·lula Flexible;;;;;;50,0;50
Q5/2008;Q;Laboratoris docents;Laboratori docent CCD;;;;;;50,0;50
Q5/2009;Q;Laboratoris docents;Laboratori docent CCD;;;;;;45,0;45
Q6/0006;Q;Laboratoris docents;Lab.doc.(Q6/0005-0007-0008);;;;;;175,0;175
Q6/1006;Q;Laboratoris docents;Lab doc EQ B (Q6/0007+Q6/0008);;;;;;151,0;151
Q6/2004;Q;Laboratoris docents;Laboratori docent Elect.P/Tele;;;;;;7,3;73
;;;;;;;;;65,7;
Q6/2005;Q;Laboratoris docents;Laboratori docent Comunicació;;;;;;76,0;76
Q6/2007;Q;Laboratoris docents;Laboratori docent Telecomunic.;;;;;;25,0;50
;;;;;;;;;25,0;
Q6/2008;Q;Laboratoris docents;Laboratori;;Canó projecció fix;;Sí;;50,0;50
;;;;;Connexió xarxa;;Sí;;;
;;;;;Ordinador;; ;;;
;;;;;Ordinadors (nombre);;20;;;
;;;;;Pissarra;; ;;;
Q6/2009;Q;Laboratoris docents;Laboratori;;;;;;45,0;45
QC/0007;Q;Despatx;Consell d`Estudiants;ja no existeix, ara aquest espai és el despatx de la gestora econòmica qc/0013.1;;;;;33,0;33
QC/0014;Q;Despatx;Magatzem GAISL;;;;;;16,0;16
QC/0027;Q;Despatx;Secretaria de Direcció;;;;;;27,0;27
QC/0032;Q;Despatx;A Desapareixer;;;;;;53,0;53
QC/0033;Q;Despatx;Despatx del director ETSE;;;;;;33,0;33
QC/0034;Q;Despatx;Despatx Direcció;;;;;;1,0;1
QC/0040;Q;Despatx;Despatx Direcció;;;;;;19,0;19
QC/0061;Q;Despatx;Despatx;;;;;;10,0;10
QC/1002;Q;Despatx;Despatx;;;;;;17,0;17
