Data inicial;Hora inicial;Data final;Hora final;Total hores;Espai;Estudi;Activitat;Alumnes matriculats;Modalitat docencia;Observacions
08/01/2021;09:30;08/01/2021;10:30;1;Q4/1009;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103799 Fonaments d'Informàtica - 312;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1009;10063 Enginyeria Electrònica de Telecomunicació;103799 Fonaments d'Informàtica - 312;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1009;10064 Enginyeria de Sistemes de Telecomunicació;103799 Fonaments d'Informàtica - 312;Sense grup de matricula; ; 
08/01/2021;09:30;08/01/2021;10:30;1;Q4/1013;10063 Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 332;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1013;10064 Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 332;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1013;6084 Enginyeria de Telecomunicació / Telecommunication Engineering;102709 Teoria de Circuits i Electrònica - 332;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1013;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 332;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1013;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 332;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1013;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 332;Sense grup de matricula; ; 
08/01/2021;09:30;08/01/2021;10:30;1;Q3/1003;;Examen parcial 103801 Àlgebra;0; ; 
08/01/2021;10:30;08/01/2021;11:30;1;Q2/1005;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102725 Compatibilitat Electromagnètica - 321;Sense grup de matricula; ; 
 ; ; ; ; ;Q2/1005;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102725 Compatibilitat Electromagnètica - 321;Sense grup de matricula; ; 
 ; ; ; ; ;Q2/1005;10063 Enginyeria Electrònica de Telecomunicació;102725 Compatibilitat Electromagnètica - 321;Sense grup de matricula; ; 
