Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Pissarra;Porta secundària;Roseta xarxa núm.;Tarima;Telèfon núm.;Televisor;Vídeo;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Ordinadors (nombre);;31;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/030;I;Aules informàtiques;Aula Informatitzada 7;;Sí;Sí;7;;15;;Taules i cadires;; ; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;43,0;43;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Ordinadors (nombre);;15;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/032;I;Aules informàtiques;Aula Informatitzada 8;;No;Sí;15;;15;;Taules i cadires;; ; ;;;;;Impressora;; ;;Fac. CC. de la Comunicació;43,0;43;
;;;;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/108;I;Aules informàtiques;Aula Informatitzada 4;;Sí;Sí;15;;30;;Taules i cadires;; ; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;81,0;81;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Ordinadors (nombre);;30;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/114;I;Aules informàtiques;Aula Informatitzada 3;;Sí;Sí;15;;30;;Taules i cadires;; ; ;;;;;Impressora;; ;;Fac. CC. de la Comunicació;81,0;81;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/117;I;Aules informàtiques;Aula Informatitzada 2;;Sí;Sí;15;;31;;Taules i cadires;; ; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;81,0;81;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Ordinadors (nombre);;31;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/121;I;Aules informàtiques;Aula Informatitzada 1;;Sí;Sí;20;;41;;Taules i cadires;; ; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;81,0;81;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Ordinadors (nombre);;31;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I2/025;I;Aules informàtiques;Aula Informatitzada 10;;Sí;Sí;17;;34;;Taules i cadires;; ; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;95,0;95;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Gravadores de DVD;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Ordinadors (nombre);;24;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I2/101;I;Aules informàtiques;Aula Informatitzada 9;;Sí;Sí;20;;20;;Taules i cadires;; ;I2/103;;;;;Canó projecció fix;;Sí;;Fac. CC. de la Comunicació;119,0;119;
;;;;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Ordinadors (nombre);;20;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla fixa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I2/005;I;Laboratoris docents;Avid;;No;No;8;;8;;Taula i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;42,0;42;
I2/005.10;I;Laboratoris docents;Avid-10;;No;No;8;;8;;Taules i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;12,0;12;
I2/005.7;I;Laboratoris docents;Avid-7;;No;No;8;;8;;Taules i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I2/005.8;I;Laboratoris docents;Avid-8;;Sí;Sí;8;;8;;Taula i cadires;; ; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;12,0;12;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Ordinadors (nombre);;1;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
I2/005.9;I;Laboratoris docents;Avid-9;;No;No;8;;8;;Taules i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;12,0;12;
I2/023;I;Laboratoris docents;Avid;;Sí;Sí;8;;8;;Taula i cadires;; ; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;33,0;33;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Ordinadors (nombre);;1;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
I2/023.1;I;Laboratoris docents;Avid.1;;No;No;8;;8;;Taules i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;10,0;10;
I2/023.2;I;Laboratoris docents;Avid-2;;No;No;8;;8;;Taules i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;10,0;10;
I2/023.3;I;Laboratoris docents;Avid-3;;No;No;8;;8;;Taules i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;8,0;8;
I2/023.4;I;Laboratoris docents;Avid-4;;No;No;8;;8;;Taules i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;8,0;8;
I2/023.5;I;Laboratoris docents;Avid-5;;No;No;8;;8;;Taules i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;8,0;8;
I2/023.6;I;Laboratoris docents;Avid-6;;No;No;8;;8;;Taules i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;8,0;8;
I2/104;I;Laboratoris docents;Fotografia ampliadores;;No;No;;;10;;Varis;;;;;;;;;;;;Fac. CC. de la Comunicació;27,0;27;
I2/112;I;Laboratoris docents;Plató Fotografia 1;;No;No;;;20;;Varis;;;;;;;;;;;;Fac. CC. de la Comunicació;57,0;57;
I2/114;I;Laboratoris docents;Plató fotografia 2;;No;No;;;10;;Varis;;;;;;;;;;;;Fac. CC. de la Comunicació;35,0;35;
I2/002;I;Laboratoris RTV;Estudi de ràdio 1;;No;No;27;;54;;Grades;;; ;;;;;;;;;Fac. CC. de la Comunicació;84,0;84;
I2/006;I;Laboratoris RTV;Estudi de continuÏtat 1;;Sí;No;4;;4;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;10,0;10;
;;;;;;;;;;;;;;;;;;;DVD;;Sí;;;;;
